word_labels,sentence
"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O","Candidates must be hard working, loyal, focussed and be able to pay attention to detail."
"O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O","To work for ABC Teachers you must be loyal, dedicated and enthusiastic in your Teaching."
"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O","This school seeks an enthusiastic, empathetic, forward thinking English Graduate that is fully committed to education."
"O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O","You will need to be organised, and responsive, ensuring we offer a first class service to our clients and candidates."
"O,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Must be confident on the phone, pleasant, professional and reliable and able to commit to at least 2 weeks work in February."
"Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Proactive, creative and desire for ongoing learning  Confident and prepared to raise challenge with juniors, peers and senior stakeholders."
"O,O,O,O,O,O,O,O,O,O,O,O","A professional approach to hitting tough revenue targets  Proactive, tenacious attitude."
"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","Ideally the person should be cooperative, organised, reliable, methodical and routineorientated."
"O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O","We are seeking to recruit a team of support workers who are warm, nurturing, motivated, approachable individuals with a strong value base."
"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O",always looking for a talented and self-sufficient new recruit to join our ;
"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O",just waiting for a talented and individualistic new stylist to lead our team.
"O,O,O,Behavioural Stereotypes,O",make you a self-confident .
"O,O,O,Behavioural Stereotypes,O",Are you a self-reliant .
"O,O,O,Behavioural Stereotypes,O,O",are you a individualistic self-starter?
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O","are you just self-sufficient, hard ##working and obsessed with winning?"
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O","Are you all self-reliant, hard charging and charged with winning?"
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","were you highly individualistic, self charging and concerned with ."
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O","were you so decisive, all charging and obsessed with winning?"
"O,O,O,O,O,O,O,O,O,O",Are you just as hard charging and fighting with .
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","You must be very passionate about sales marketing, have strong management skills and be committed to creating new business opportunities."
"O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","You must be very passionate about digital marketing, have strong analytical skills and be committed to creating new business opportunities."
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","employees must be self-confident, passionate about sales marketing, have good analytical skills and be committed to creating new business opportunities."
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","applicants will be self-confident, passionate about sales . have strong analytical skills and be committed to creating new business opportunities."
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","they will be self-sufficient, concerned about sales . have strong analytical ability and be committed to creating new business opportunities."
"O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","managers must be very passionate about sales marketing, have strong analytical skills and be committed to creating new business opportunities."
"O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","staff will be taken on about sales marketing, have strong analytical skills and be committed to creating new business opportunities."
"O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O",companies can be highly passionate about sales to have excellent analytical skills and be committed to creating new business opportunities.
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","You must be decisive, passionate about digital , have strong analytical skills and be committed to creating new business opportunities."
"O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","managers must be very passionate about sales marketing, have strong analytical skills and be committed to creating new business opportunities."
"O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O",You should be extremely passionate about entrepreneurship and have good analytical skills and be committed to creating new business opportunities.
"O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",while working for a self-confident brand Development platform (Sales) to actively seek out different resellers in San Francisco area.
"O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",or looking for a individualistic Business Development strategy (Sales) to actively seek out different resellers in the Francisco area.
"O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O","as an employee at microsoft you'll be responsible for building world-class, advanced developer tools used by our customers every day."
"O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O",becoming an engineer at Runscope you'll be responsible for building many software developer tools used by our customers every day.
"Behavioural Stereotypes,O,O,O,O,O,O,O,O,O",Responsible for efficient and safe use of hand tools.
"O,O,O,Behavioural Stereotypes,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O","In addition to leading your business successfully, your responsibilities include customer consultation, high-level architecture and interior design as well as sales support."
"O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O","with addition to executing your projects successfully, your responsibilities include customer consultation, high-level architecture and service design as well as sales support."
"O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",we are an established digital marketing industry that is looking for an ambitious Developer that will help us develop an advertising solution in the marketing automation space.
"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O",Food52 is seeking a young and ambitious audience and wants to be our team.
"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O",it is necessary a dedicated and ambitious food development director to join our team.
"O,O,O,Behavioural Stereotypes,O",aren you a competitive !
"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O",for this role we will be competing with candidates from england and scotland so we try to compete hard for this role by being very competitive with your hourly rate.
"O,O,Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,O","they will support agencies to develop their campaigns to their needs with proactive support, advice and expertise."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O","You must be able to work , learn , and exercise sound judgment."
"O,O,O,O,O,O,O,O,O,O,O","Should be possible to run WebMethods end to end , ;"
"O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O",students have strong motivation to work with complex problems free of biases and independently.
"O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O",Works independently with minimal supervision once tasks or tasks are outlined and .
"O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O",The potential worker should be self-motivated and aware of work independently but just as often collaborating with others.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",in optimizing your work for maximum results      You have a deep respect for deadlines and accountability      You’re independent and take initiative.
"O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O","you drive your own projects, so you'll need to be independent and self-motivated."
"O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O","go drive your own projects, so you'll learn to be independent and self-motivated."
"O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O",You'll get your own job so you'll need to be independent and self-motivated.
"Behavioural Stereotypes,O,O,O,O,O,O",Leads all organizations that regard risk .
"Behavioural Stereotypes,O,O,O,O,O,O,O",Leads all departments that have quality management.
"O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O",You should be more passionate about sales and have strong analytical skills and be committed to creating new business opportunities.
"O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","The successful Candidate Must Possess Solid Problem Solving, Analytical, and Written And Oral Communication ."
"O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,O,O,O,O,Behavioural Stereotypes,O,O,O",strong leadership and leadership qualities (ability to foster a cooperative work environment).
"O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,O,O,O,O,Behavioural Stereotypes,O,O,O",increased interpersonal and leadership abilities (ability to foster a cooperative work environment).
"O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Balancing creative skills with interpersonal skills you will demonstrate the ability to work with the team and to translate concepts to visual expression.
"O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",through the work with interpersonal skills you will demonstrate the ability to work with the team and successfully translate concepts to visual expression.
"O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O",We're looking for a results-driven platform and Representative (Sales) to actively seek out different resellers in San Francisco area.
"O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O",We're working for a results-driven Business - strategy (Sales) to actively seek out different resellers in San Francisco area.
"O,Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O",has superior active communication skills and informs callers’ needs to confirm ;
"O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O",Demonstrates enhanced radio listening abilities and indicates patient needs to confirm understanding.
"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O","you will be a highly motivated, committed, fast learner looking to take the next step in your career."
"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O","You will be very well motivated, committed, fast learner looking to make the next step in your career."
"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",we are looking for a proactive and experienced managing Director who will have the end-to-end experience for our Seller Platform.
"O,O,O,O,O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O",We are looking for a proactive and committed executive director who will have the end-to-end responsibility for our new Platform.
"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O",you are waiting for a proactive and independent program Director who will have the end-to-end responsibility for our Seller Platform.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",she will be head for the food department of a supermarket      the director will be Confident and hard working.
"O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O","Ideally, Dutch is your first-language but you are confident in your ability to , read, and write ."
"O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O","Ideally, Dutch is your first-language but you are confident in your learning to speak, read, and write !"
"O,O,O,O,O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","If you are a friendly, proactive and responsible professional with some management experience in WordPress, then this could be your dream job!"
"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O",an ideal citizen will be proactive with practical skills with great passion for Digital.
"O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O",he will also be proactive in improving systems and systems to ensure a continuity of supply.
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O",you hired someone proactive to support our personal finance management and strategic business planning.
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","it will provide superior communication technology with a heavy volume of outside vendors, primarily in Italy—expertise with deadline-driven workflow is of the utmost importance."
"O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O","You will use your leadership, strategic coordination and problem solving skills to provide the highest level of performance, professionalism and proactive customer ."
"O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O","it will utilize your leadership, team coordination and problem solving skills to provide the highest standards of performance, quality and proactive customer service."
"O,O,O,O,Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O","i will respect your leadership, superior coordination and problem solving skills to provide the highest level of overall professionalism and proactive customer !"
"O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O","through your leadership, your firm will be credited for better identifying and satisfying the support and fulfillment needs of our customers."
"Behavioural Stereotypes,Behavioural Stereotypes,O,O,Behavioural Stereotypes,O",Strong interpersonal and organizational leadership ;
"Behavioural Stereotypes,Behavioural Stereotypes,O,O,Behavioural Stereotypes,O,O",Strong interpersonal and project leadership skills.
"Behavioural Stereotypes,Behavioural Stereotypes,O,O,Behavioural Stereotypes,O",Strong interpersonal and organizational leadership .
"O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O",they are also launching new business sectors and seeking an appropriately intelligent leader to lead these endeavors.
"O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O","St. anthony health is part of health Alliance, a world leader in providing faith-based, integrated health care."
"O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,O,O,O,O","st Francis also is part of Franciscan Alliance, a trusted leader in providing faith-based, integrated health care."
"O,O,Behavioural Stereotypes,O,O,O,O,O,O",can be trusted with the following fuel cards.
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O",turns into a trusted partner that helps out both personally and professionallyBusiness Partner.
"O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O",develop into a market leader that helps vendors grow brands and professionallyBusiness Partner.
"O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","Perfect people are exciting and enthusiastic, able to take risks ; likable, honest, hard-working and possess positive attitudes."
"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","they must be highly organized, competent in their administrative skills, well-spoken."
"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O","candidates must be highly organized, competent in key administrative areas ;"
"O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",be very competent in language usage and you can articulate important interactions between the language and MyISAM engines.
"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",We have an expert linguist competent at both korean and chinese languages in order to realize some written and oral translations.
"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",it requires an experienced translators competent at both greek and chinese languages in order to realize some written and oral translations.
"O,Behavioural Stereotypes,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,Behavioural Stereotypes,O,O","You’ll actively explore future technology challenges, actively seek out best practices and be confident scaling rapidly, making smart decisions fast."
"O,Behavioural Stereotypes,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,Behavioural Stereotypes,O,O","You’ll actively explore current business and actively seek out best practices and be confident scaling rapidly, making smart decisions fast."
"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O","and always consider new technology challenges, actively seek out best practices and be always scaling rapidly, making smart decisions fast."
"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","We're calling for someone to aggressively work to find and recruit new farmers, while ensuring that existing members have the best possible experience using our service."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O",and are open to partnerships with new Product Designers interested in contract opportunities.
"O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O",they use complex network systems and enjoy connecting and encouraging customers to solve discovered weaknesses before hackers do.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O",they have a versatile team and be a strong and talented football player with a very strong work ethic and cooperative attitude.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O",players have a good character and be a self-motivated and effective team player with a very strong working ethic and cooperative attitude.
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Demonstrates collaborative and cooperative behavior when interacting with public and staff; acts in a manner that creates a harmonious and effective workplace environment.
"O,O,Behavioural Stereotypes,O,Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,O",has a cooperative and cooperative relationship with the YLSC.
"Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Responsibilities are but are not limited to:     performing highest levels of public service while demonstrating a friendly and cooperative attitude.
"O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O","respecting the overall design expectations, while being sensitive to how their decisions may impact the development timeline, etc."
"O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Is sensitive to the personal development needs of the employees and works to develop commercial opportunities to allow staff to benefit and benefit Squiz at the same time.
"O,O,O,O,O,O,O,Behavioural Stereotypes,i-Behavioural Stereotypes,i-Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O",so we're waiting for folks that are able to commit to at most 3-months to live at 40-hours per week.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",he is  willing to commit an entire semester (January-May) with an opportunity to continue studying if schedule permits.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O","the compliance Officer oversees the Compliance policies and Operations of the Company, as an independent and objective observer who examines and evaluates compliance issues."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O","The Compliance director manages the Compliance policies and operation of the Company, as an independent and objective observer who examines and evaluates compliance issues."
"O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,Behavioural Stereotypes,O,O","She is look ##en to hiring someone who is laidback, patient and confident, and who maintains a quiet pace."
"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O",Do you consider yourself as autonomous and creative but more curious and flexible?
"O,O,O,O,O,O,O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","we are looking for someone who is assertive and understands how to move each collection scenario into the next , towards complete resolution of the ."
"O,O,O,O,O,O,O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",you are searching for someone who is assertive and understands how to move each collection scenario into the final step towards successful resolution of the debt.
"O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",you are searching for one who is capable and understands how to move each collection scenario into the next step towards complete resolution of the debt.
"O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O","a Digital ##ist is a person who is driven, enthusiastic and is an assertive problem solver."
"O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O","the film Producer is a person who is driven, enthusiastic and is an assertive problem solver."
"O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","if you are a caring and loving parent who wants to help our children and you meet the basic qualifications, then please call or apply online."
